epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.293,1.15797,7.2243,1.23598,0.72457,0.69532,0.7124,0.46959,1.17571,7.35439,1.27062,0.000330769,0.000330769,0.0672538
2,344.526,1.14273,6.04229,1.19788,0.86605,0.80707,0.8655,0.57306,1.0715,5.56657,1.21555,0.000663454,0.000663454,0.0342532
3,518.623,1.10066,5.80562,1.18678,0.8224,0.82484,0.85267,0.55584,1.11572,5.74109,1.26043,0.000993543,0.000993543,0.00124995
4,693.165,1.13988,5.96151,1.22039,0.86297,0.79912,0.86455,0.56859,1.09333,5.7861,1.23166,0.000991232,0.000991232,0.000991232
5,865.38,1.12133,5.66399,1.19192,0.88628,0.84352,0.90335,0.60045,1.04577,4.98662,1.18993,0.000984449,0.000984449,0.000984449
6,1037.44,1.06145,5.4112,1.16999,0.86801,0.85502,0.89946,0.60267,1.04615,4.89169,1.20125,0.000975773,0.000975773,0.000975773
7,1210.97,1.07647,5.32746,1.17663,0.90527,0.86693,0.92282,0.62085,1.02143,4.70812,1.18936,0.000965239,0.000965239,0.000965239
8,1384.15,1.05236,5.28487,1.16514,0.87392,0.87505,0.91846,0.6218,0.99806,4.64156,1.15585,0.000952889,0.000952889,0.000952889
9,1557.68,1.03843,5.04963,1.15107,0.90787,0.86367,0.91102,0.617,1.00667,4.59602,1.17041,0.000938772,0.000938772,0.000938772
10,1730.16,1.03381,5.02589,1.14378,0.91074,0.89918,0.93434,0.65039,0.97633,4.44335,1.14776,0.000922942,0.000922942,0.000922942
11,1902.4,1.03704,4.87291,1.15405,0.89524,0.89416,0.93206,0.65424,0.98294,4.37115,1.15923,0.000905463,0.000905463,0.000905463
12,2075.07,1.0164,4.90526,1.14185,0.88245,0.8816,0.91374,0.63423,0.97095,4.64549,1.15927,0.000886404,0.000886404,0.000886404
13,2246.95,1.00664,4.87742,1.13799,0.89119,0.88256,0.90992,0.62352,0.99917,4.48319,1.16574,0.000865839,0.000865839,0.000865839
14,2418.94,0.98715,4.77707,1.12778,0.90017,0.89723,0.93638,0.65814,0.96281,4.27227,1.15022,0.000843851,0.000843851,0.000843851
15,2590.11,0.9845,4.69449,1.12559,0.92365,0.88968,0.93796,0.65604,0.95657,4.31265,1.14143,0.000820525,0.000820525,0.000820525
16,2761.23,0.9904,4.64062,1.12033,0.91456,0.87147,0.92452,0.66136,0.94762,4.19465,1.14159,0.000795954,0.000795954,0.000795954
17,2931.85,0.97817,4.63601,1.12509,0.88576,0.91803,0.932,0.66152,0.94101,4.20211,1.14108,0.000770234,0.000770234,0.000770234
18,3104.39,0.96779,4.46801,1.10805,0.9142,0.91309,0.94538,0.67078,0.93734,4.10064,1.1345,0.000743468,0.000743468,0.000743468
19,3276.7,0.94927,4.36193,1.10394,0.91307,0.89501,0.93872,0.6663,0.92386,4.07708,1.13151,0.000715761,0.000715761,0.000715761
20,3448.71,0.91471,4.19591,1.0935,0.90429,0.9086,0.93714,0.67992,0.92977,3.95053,1.13766,0.000687222,0.000687222,0.000687222
21,3621.8,0.93539,4.28228,1.09985,0.90639,0.90689,0.94599,0.67836,0.91095,4.05863,1.13357,0.000657963,0.000657963,0.000657963
22,3791.99,0.92042,4.2135,1.09121,0.91799,0.91014,0.94824,0.68176,0.92686,3.87483,1.12517,0.000628101,0.000628101,0.000628101
23,3962.18,0.93312,4.26533,1.09328,0.91278,0.91549,0.94595,0.69045,0.91918,3.94755,1.12304,0.000597754,0.000597754,0.000597754
24,4132.26,0.89885,4.11721,1.07775,0.92295,0.91381,0.94752,0.69173,0.90013,3.7818,1.12433,0.00056704,0.00056704,0.00056704
25,4302.74,0.87436,3.95067,1.06462,0.9087,0.91958,0.94553,0.7024,0.89681,3.7629,1.11713,0.000536081,0.000536081,0.000536081
26,4472.35,0.89213,3.94961,1.07462,0.9089,0.91374,0.94439,0.69168,0.91396,3.866,1.11967,0.000505,0.000505,0.000505
27,4641.92,0.9136,4.0126,1.08457,0.91439,0.90109,0.94846,0.69341,0.89028,3.86474,1.11157,0.000473919,0.000473919,0.000473919
28,4811.72,0.88603,3.92877,1.06472,0.92289,0.92202,0.95292,0.70719,0.88465,3.66584,1.10932,0.00044296,0.00044296,0.00044296
29,4981.63,0.87235,3.83899,1.06694,0.92143,0.9247,0.94931,0.70438,0.87645,3.72828,1.10193,0.000412246,0.000412246,0.000412246
30,5151.17,0.85559,3.8121,1.0598,0.92444,0.92219,0.94758,0.70739,0.87833,3.65025,1.10681,0.000381899,0.000381899,0.000381899
31,5321.08,0.84998,3.76053,1.05785,0.92614,0.91363,0.95158,0.70361,0.87162,3.70299,1.10665,0.000352037,0.000352037,0.000352037
32,5490.8,0.85978,3.70782,1.0632,0.93601,0.90588,0.95088,0.70915,0.86047,3.61015,1.10347,0.000322778,0.000322778,0.000322778
33,5660.5,0.8539,3.64518,1.05593,0.92316,0.91592,0.95038,0.71856,0.85969,3.62623,1.09459,0.000294239,0.000294239,0.000294239
34,5830.2,0.84511,3.61032,1.05179,0.91282,0.92029,0.94535,0.70836,0.85853,3.65609,1.0972,0.000266532,0.000266532,0.000266532
35,5999.51,0.84168,3.58109,1.05096,0.92378,0.92396,0.95339,0.72188,0.85629,3.60764,1.09266,0.000239766,0.000239766,0.000239766
36,6169.59,0.8228,3.54278,1.04286,0.93391,0.91368,0.95286,0.72639,0.84263,3.56121,1.08691,0.000214046,0.000214046,0.000214046
37,6339.42,0.80885,3.44292,1.03023,0.92092,0.92147,0.95276,0.72701,0.83824,3.52872,1.08522,0.000189475,0.000189475,0.000189475
38,6508.93,0.81075,3.39799,1.03513,0.92348,0.92301,0.95074,0.72807,0.84106,3.52989,1.0887,0.000166149,0.000166149,0.000166149
39,6678.57,0.77706,3.30749,1.02799,0.92729,0.9208,0.9527,0.72934,0.84092,3.46611,1.08842,0.000144161,0.000144161,0.000144161
40,6848.2,0.80703,3.36639,1.03339,0.9274,0.91955,0.95218,0.73146,0.83239,3.46459,1.08262,0.000123596,0.000123596,0.000123596
41,7033.57,0.82761,3.18547,1.04231,0.93286,0.91337,0.95076,0.71589,0.85004,3.52571,1.09865,0.000104537,0.000104537,0.000104537
42,7202.81,0.81207,3.09939,1.0373,0.93055,0.91685,0.95091,0.72257,0.84298,3.47357,1.09498,8.70577e-05,8.70577e-05,8.70577e-05
43,7371.51,0.80569,3.0385,1.03604,0.93293,0.91478,0.952,0.72603,0.84106,3.43841,1.09541,7.12282e-05,7.12282e-05,7.12282e-05
44,7540.5,0.80115,2.99156,1.02772,0.93263,0.91124,0.94972,0.72739,0.83972,3.4327,1.09313,5.71106e-05,5.71106e-05,5.71106e-05
45,7709.38,0.81686,3.04637,1.04942,0.92816,0.91923,0.95094,0.72977,0.83479,3.42902,1.08986,4.47606e-05,4.47606e-05,4.47606e-05
46,7877.68,0.79333,2.97423,1.02418,0.93673,0.91184,0.95222,0.73024,0.83315,3.41568,1.08869,3.4227e-05,3.4227e-05,3.4227e-05
47,8046.22,0.79966,2.94219,1.02862,0.92845,0.91829,0.95138,0.73167,0.83072,3.39681,1.08742,2.55513e-05,2.55513e-05,2.55513e-05
48,8214.85,0.78289,2.92781,1.01966,0.92973,0.9226,0.95265,0.73273,0.8311,3.39957,1.08829,1.87678e-05,1.87678e-05,1.87678e-05
49,8383.58,0.78358,2.93903,1.0271,0.93129,0.92148,0.953,0.73339,0.82912,3.39481,1.08776,1.39032e-05,1.39032e-05,1.39032e-05
50,8552.35,0.78638,2.90476,1.02737,0.9305,0.92213,0.95333,0.73441,0.8275,3.38726,1.08667,1.09768e-05,1.09768e-05,1.09768e-05
